experiment_type,model,dataset,seed,requested_k,actual_k,num_classes,num_documents,representation_source,assignment_source,preprocessing_source,acc,nmi,ari,ami,homogeneity,completeness,v_measure,purity,silhouette,davies_bouldin,calinski_harabasz,runtime_seconds,status,error
cluster,sbert_gte,20ng,42,20,20,20,18846,embeddings,kmeans_on_embeddings,none,0.5625066327072058,0.5766576347520947,0.4285465823705857,0.5752808047186236,0.5722996362338831,0.581082513913751,0.5766576347520947,0.5808129045951396,0.014564376921808798,4.110432878753661,245.99173188623428,108.23,ok,
cluster,sbert_gte,imdb,42,2,2,2,50000,embeddings,kmeans_on_embeddings,none,0.92914,0.6346224844625981,0.7366392997289039,0.634617209820317,0.634246571085744,0.6349988437060187,0.6346224844625981,0.92914,0.05111807499679418,4.2115938056170865,2797.949828261136,294.574,ok,
cluster,sbert_gte,agnews_short,42,4,4,4,8000,embeddings,kmeans_on_embeddings,none,0.882125,0.6760719771899755,0.7170959764003435,0.6759403171058488,0.6755512942892581,0.676593463345178,0.6760719771899755,0.882125,0.03883621824004025,4.856638035297285,220.11955561383363,18.866,ok,
cluster,sbert_gte,search_snippets,42,8,8,8,12340,embeddings,kmeans_on_embeddings,none,0.7760129659643435,0.6453889444309644,0.622051811395329,0.6450381603235794,0.6540610007911253,0.6369438408708858,0.6453889444309644,0.836061588330632,0.03457362584744682,4.69719256554877,185.27153079415362,26.399,ok,
cluster,sbert_gte,stack_overflow,42,20,20,20,20000,embeddings,kmeans_on_embeddings,none,0.8457,0.8240545285292654,0.7422693631564792,0.82351891599966,0.8211566487715914,0.8269729340849095,0.8240545285292655,0.8457,0.08512174861291978,3.352427850828895,376.04224885566737,36.554,ok,
cluster,sbert_gte,biomedical,42,20,20,20,20000,embeddings,kmeans_on_embeddings,none,0.50815,0.45977539756720914,0.3270310821175544,0.4581277618988939,0.4573642134578036,0.46221213951856505,0.45977539756720914,0.5168,0.040459304663800905,4.113599093916383,230.807768291858,41.631,ok,
cluster,sbert_gte,google_news_ts,42,152,152,152,11109,embeddings,kmeans_on_embeddings,none,0.7453416149068323,0.9264068760302554,0.6989611862190136,0.912104589404461,0.9536117088752947,0.9007111998901559,0.9264068760302553,0.9205148978305878,0.16458074258485486,2.4910494291682577,81.54870593758864,34.554,ok,
cluster,sbert_gte,google_news_t,42,152,152,152,11108,embeddings,kmeans_on_embeddings,none,0.7138998919697516,0.8840669557585321,0.6485879067453781,0.8615771434998872,0.9088098721643114,0.8606356136306277,0.8840669557585322,0.8729744328411956,0.15849918857182285,2.4764933784895713,72.45344356861213,33.676,ok,
cluster,sbert_gte,google_news_s,42,152,152,152,11108,embeddings,kmeans_on_embeddings,none,0.6983255311487216,0.8937167479988576,0.6508631853337296,0.8728651339411967,0.9218608824824827,0.8672401674579725,0.8937167479988575,0.8836874324810947,0.12817306413987825,2.8251250210737875,67.81612363498104,33.785,ok,
cluster,sbert_gte,tweet,42,89,89,89,2472,embeddings,kmeans_on_embeddings,none,0.6395631067961165,0.8805792757751667,0.5163552361852272,0.8462716457166838,0.9432840378463042,0.8256914738664497,0.8805792757751666,0.9219255663430421,0.12844306829654148,2.5772963400217277,26.442220052578172,14.728,ok,
cluster,sbert_gte,hicot_20ng,42,20,20,20,18846,embeddings,kmeans_on_embeddings,none,0.6075559800488167,0.6208468380743198,0.46712508319072027,0.6196107654895044,0.6149723359918021,0.6268346545467313,0.6208468380743198,0.6243765255226573,0.04367189526171676,4.196324355887319,223.69972238558242,64.154,ok,
cluster,sbert_gte,hicot_imdb,42,2,2,2,50000,embeddings,kmeans_on_embeddings,none,0.83236,0.35522657860156526,0.44184163206600846,0.35521724069227745,0.3538807757883296,0.3565826566235091,0.3552265786015653,0.83236,0.029786397288859262,5.426278948159649,1662.33837796605,150.268,ok,
cluster,sbert_gte,hicot_agnews,42,4,4,4,12500,embeddings,kmeans_on_embeddings,none,0.86,0.6325714250177191,0.6734539635964093,0.632475896459183,0.6322415419235181,0.63290165253619,0.6325714250177191,0.86,0.03893051573868162,4.754878887723724,355.6754937260128,24.22,ok,
cluster,sbert_gte,hicot_search_snippets,42,8,8,8,12294,embeddings,kmeans_on_embeddings,none,0.77867252318204,0.6436482007765226,0.6260527826620713,0.643294091032358,0.6516897919401989,0.6358026505776992,0.6436482007765226,0.8375630388807548,0.038946969095254066,4.431073655047037,206.40556442528975,24.05,ok,
cluster,sbert_gte,hicot_google_news,42,152,152,152,11019,embeddings,kmeans_on_embeddings,none,0.7059624285325347,0.8842310230302832,0.6173106765847081,0.8617484069707267,0.9076149284139413,0.862021785135222,0.8842310230302831,0.8703149106089482,0.16749556958031514,2.423489360369924,76.43018526674867,32.572,ok,
cluster,sbert_gte,agnews_full,42,4,4,4,127600,embeddings,kmeans_on_embeddings,none,0.8805407523510972,0.6747577103310406,0.7159428139648201,0.674749433926135,0.6745975691626611,0.6749179275485621,0.6747577103310408,0.8805407523510972,0.04055321948771375,4.607347094060972,3805.9902126123284,531.965,ok,
cluster,sbert_gte,banking77,42,77,77,77,13069,embeddings,kmeans_on_embeddings,none,0.666615655367664,0.8131230009551556,0.5647740472043303,0.8016940790880075,0.8059424144573962,0.8204326893219499,0.8131230009551554,0.7045680618256944,0.1255018452942618,2.3684271765017377,166.14846352632958,39.886,ok,
cluster,sbert_gte,bbc_news,42,5,5,5,2225,embeddings,kmeans_on_embeddings,none,0.9608988764044943,0.8758521329274334,0.9066318087519463,0.8755720575299303,0.8757406535844571,0.8759636406560419,0.8758521329274332,0.9608988764044943,0.06913629058573449,3.527783600752465,91.89577732355043,18.005,ok,
cluster,sbert_gte,dblp,42,4,4,4,54595,embeddings,kmeans_on_embeddings,none,0.606502426962176,0.3189463600304593,0.32917272988351004,0.31890412882879854,0.332213528501811,0.3066981646061655,0.31894636003045923,0.7179961534939097,0.03120010795087884,5.059954518079666,1413.6762299324441,109.58,ok,
cluster,hicot,20ng,42,20,16,20,18846,theta,argmax_theta,stopwords_removed_en,0.1325480208001698,0.11705937601709268,0.014889364100330578,0.11443838423510011,0.08852333872763364,0.17274467338869276,0.1170593760170927,0.13620927517775655,0.015506441704928875,1.2480521454778566,2919.2828050232424,611.806,ok,
