model,dataset,k,cv,purity,nmi,td,seed,runtime_seconds,status,error,evaluation_protocol,top_n,cv_source,td_definition,assignment_source,topic_source
sbert_minilm,20ng,50,,0.5661148254271463,0.48014775775432594,0.12933333333333333,42,105.627,ok,,ecrtm_hicot,15,palmetto_wikipedia,dieng_unique_words_top15,kmeans_on_embeddings,cluster-derived
sbert_minilm,20ng,100,,0.5880292900350207,0.4617986544848813,0.14933333333333335,42,123.66,ok,,ecrtm_hicot,15,palmetto_wikipedia,dieng_unique_words_top15,kmeans_on_embeddings,cluster-derived
sbert_minilm,imdb,50,,,,,42,3.328,error,"imdb requires the `datasets` package: pip install datasets
Traceback (most recent call last):
  File ""/raid/brunoguilherme/DeepGenerativeTopicCluster/src/vaebm_benchmark/datasets/definitions/hf_benchmarks.py"", line 25, in _download_raw
    from datasets import load_dataset
ModuleNotFoundError: No module named 'datasets'

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File ""/raid/brunoguilherme/DeepGenerativeTopicCluster/src/vaebm_benchmark/experiment/runner.py"", line 361, in run_single
    documents, labels, _num_classes = load_dataset(dataset_id)
                                      ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/raid/brunoguilherme/DeepGenerativeTopicCluster/src/vaebm_benchmark/datasets/simple_registry.py"", line 106, in load_dataset
    return LOADERS[resolved]()
           ^^^^^^^^^^^^^^^^^^^
  File ""/raid/brunoguilherme/DeepGenerativeTopicCluster/src/vaebm_benchmark/datasets/simple_registry.py"", line 37, in _imdb
    loaded = IMDBDataset().load()
             ^^^^^^^^^^^^^^^^^^^^
ImportError: imdb requires the `datasets` package: pip install datasets
",ecrtm_hicot,15,palmetto_wikipedia,dieng_unique_words_top15,,
sbert_minilm,imdb,50,,,,,42,4.625,error,"imdb requires the `datasets` package: pip install datasets
Traceback (most recent call last):
  File ""/raid/brunoguilherme/DeepGenerativeTopicCluster/src/vaebm_benchmark/datasets/definitions/hf_benchmarks.py"", line 25, in _download_raw
    from datasets import load_dataset
ModuleNotFoundError: No module named 'datasets'

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File ""/raid/brunoguilherme/DeepGenerativeTopicCluster/src/vaebm_benchmark/experiment/runner.py"", line 361, in run_single
    documents, labels, _num_classes = load_dataset(dataset_id)
                                      ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/raid/brunoguilherme/DeepGenerativeTopicCluster/src/vaebm_benchmark/datasets/simple_registry.py"", line 106, in load_dataset
    return LOADERS[resolved]()
           ^^^^^^^^^^^^^^^^^^^
  File ""/raid/brunoguilherme/DeepGenerativeTopicCluster/src/vaebm_benchmark/datasets/simple_registry.py"", line 37, in _imdb
    loaded = IMDBDataset().load()
             ^^^^^^^^^^^^^^^^^^^^
ImportError: imdb requires the `datasets` package: pip install datasets
",ecrtm_hicot,15,palmetto_wikipedia,dieng_unique_words_top15,,
sbert_minilm,imdb,50,,,,,42,5.015,error,"imdb requires the `datasets` package: pip install datasets
Traceback (most recent call last):
  File ""/raid/brunoguilherme/DeepGenerativeTopicCluster/src/vaebm_benchmark/datasets/definitions/hf_benchmarks.py"", line 25, in _download_raw
    from datasets import load_dataset
ModuleNotFoundError: No module named 'datasets'

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File ""/raid/brunoguilherme/DeepGenerativeTopicCluster/src/vaebm_benchmark/experiment/runner.py"", line 361, in run_single
    documents, labels, _num_classes = load_dataset(dataset_id)
                                      ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/raid/brunoguilherme/DeepGenerativeTopicCluster/src/vaebm_benchmark/datasets/simple_registry.py"", line 106, in load_dataset
    return LOADERS[resolved]()
           ^^^^^^^^^^^^^^^^^^^
  File ""/raid/brunoguilherme/DeepGenerativeTopicCluster/src/vaebm_benchmark/datasets/simple_registry.py"", line 37, in _imdb
    loaded = IMDBDataset().load()
             ^^^^^^^^^^^^^^^^^^^^
ImportError: imdb requires the `datasets` package: pip install datasets
",ecrtm_hicot,15,palmetto_wikipedia,dieng_unique_words_top15,,
sbert_minilm,imdb,100,,,,,42,3.178,error,"imdb requires the `datasets` package: pip install datasets
Traceback (most recent call last):
  File ""/raid/brunoguilherme/DeepGenerativeTopicCluster/src/vaebm_benchmark/datasets/definitions/hf_benchmarks.py"", line 25, in _download_raw
    from datasets import load_dataset
ModuleNotFoundError: No module named 'datasets'

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File ""/raid/brunoguilherme/DeepGenerativeTopicCluster/src/vaebm_benchmark/experiment/runner.py"", line 361, in run_single
    documents, labels, _num_classes = load_dataset(dataset_id)
                                      ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/raid/brunoguilherme/DeepGenerativeTopicCluster/src/vaebm_benchmark/datasets/simple_registry.py"", line 106, in load_dataset
    return LOADERS[resolved]()
           ^^^^^^^^^^^^^^^^^^^
  File ""/raid/brunoguilherme/DeepGenerativeTopicCluster/src/vaebm_benchmark/datasets/simple_registry.py"", line 37, in _imdb
    loaded = IMDBDataset().load()
             ^^^^^^^^^^^^^^^^^^^^
ImportError: imdb requires the `datasets` package: pip install datasets
",ecrtm_hicot,15,palmetto_wikipedia,dieng_unique_words_top15,,
sbert_minilm,imdb,100,,,,,42,5.108,error,"imdb requires the `datasets` package: pip install datasets
Traceback (most recent call last):
  File ""/raid/brunoguilherme/DeepGenerativeTopicCluster/src/vaebm_benchmark/datasets/definitions/hf_benchmarks.py"", line 25, in _download_raw
    from datasets import load_dataset
ModuleNotFoundError: No module named 'datasets'

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File ""/raid/brunoguilherme/DeepGenerativeTopicCluster/src/vaebm_benchmark/experiment/runner.py"", line 361, in run_single
    documents, labels, _num_classes = load_dataset(dataset_id)
                                      ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/raid/brunoguilherme/DeepGenerativeTopicCluster/src/vaebm_benchmark/datasets/simple_registry.py"", line 106, in load_dataset
    return LOADERS[resolved]()
           ^^^^^^^^^^^^^^^^^^^
  File ""/raid/brunoguilherme/DeepGenerativeTopicCluster/src/vaebm_benchmark/datasets/simple_registry.py"", line 37, in _imdb
    loaded = IMDBDataset().load()
             ^^^^^^^^^^^^^^^^^^^^
ImportError: imdb requires the `datasets` package: pip install datasets
",ecrtm_hicot,15,palmetto_wikipedia,dieng_unique_words_top15,,
sbert_minilm,imdb,100,,,,,42,5.238,error,"imdb requires the `datasets` package: pip install datasets
Traceback (most recent call last):
  File ""/raid/brunoguilherme/DeepGenerativeTopicCluster/src/vaebm_benchmark/datasets/definitions/hf_benchmarks.py"", line 25, in _download_raw
    from datasets import load_dataset
ModuleNotFoundError: No module named 'datasets'

The above exception was the direct cause of the following exception:

Traceback (most recent call last):
  File ""/raid/brunoguilherme/DeepGenerativeTopicCluster/src/vaebm_benchmark/experiment/runner.py"", line 361, in run_single
    documents, labels, _num_classes = load_dataset(dataset_id)
                                      ^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/raid/brunoguilherme/DeepGenerativeTopicCluster/src/vaebm_benchmark/datasets/simple_registry.py"", line 106, in load_dataset
    return LOADERS[resolved]()
           ^^^^^^^^^^^^^^^^^^^
  File ""/raid/brunoguilherme/DeepGenerativeTopicCluster/src/vaebm_benchmark/datasets/simple_registry.py"", line 37, in _imdb
    loaded = IMDBDataset().load()
             ^^^^^^^^^^^^^^^^^^^^
ImportError: imdb requires the `datasets` package: pip install datasets
",ecrtm_hicot,15,palmetto_wikipedia,dieng_unique_words_top15,,
sbert_minilm,agnews_short,50,0.4673844,0.855375,0.35925728030308274,0.8453333333333334,42,84.051,ok,,ecrtm_hicot,15,palmetto_wikipedia,dieng_unique_words_top15,kmeans_on_embeddings,cluster-derived
sbert_minilm,agnews_short,100,0.4697019,0.85825,0.32937332581538914,0.7746666666666666,42,135.283,ok,,ecrtm_hicot,15,palmetto_wikipedia,dieng_unique_words_top15,kmeans_on_embeddings,cluster-derived
